"","variable","name"
"70","DOC_PHC_R_P_WISN_diff","WISN difference of Doctors at rural PHCs"
"71","DOC_PHC_R_P_WISN_ratio","WISN ratio of Doctors at rural PHCs"
"72","DOC_PHC_R_S_WISN_diff","Sanctioning difference of Doctors at rural PHCs"
"73","DOC_PHC_R_P_WISN_diff_per_centre","WISN difference (per Centre) of Doctors at rural PHCs"
"74","DOC_PHC_R_S_WISN_diff_per_centre","Sanctioning difference (per Centre) ofDoctors at rural PHCs"
"75","GDMO_AL_CHC_R_P_WISN_diff","WISN difference of GDMO Allopathic at rural CHCs"
"76","GDMO_AL_CHC_R_P_WISN_ratio","WISN ratio of GDMO Allopathic at rural CHCs"
"77","GDMO_AL_CHC_R_S_WISN_diff","Sanctioning difference of GDMO Allopathic at rural CHCs"
"78","GDMO_AL_CHC_R_P_WISN_diff_per_centre","WISN difference (per Centre) of GDMO Allopathic at rural CHCs"
"79","GDMO_AL_CHC_R_S_WISN_diff_per_centre","Sanctioning difference (per Centre) ofGDMO Allopathic at rural CHCs"
"80","NURSE_CHC_R_P_WISN_diff","WISN difference of Nursing staff at rural CHCs"
"81","NURSE_CHC_R_P_WISN_ratio","WISN ratio of Nursing staff at rural CHCs"
"82","NURSE_CHC_R_S_WISN_diff","Sanctioning difference of Nursing staff at rural CHCs"
"83","NURSE_CHC_R_P_WISN_diff_per_centre","WISN difference (per Centre) of Nursing staff at rural CHCs"
"84","NURSE_CHC_R_S_WISN_diff_per_centre","Sanctioning difference (per Centre) ofNursing staff at rural CHCs"
"85","NURSE_PHC_R_P_WISN_diff","WISN difference of Nursing staff at rural PHCs"
"86","NURSE_PHC_R_P_WISN_ratio","WISN ratio of Nursing staff at rural PHCs"
"87","NURSE_PHC_R_S_WISN_diff","Sanctioning difference of Nursing staff at rural PHCs"
"88","NURSE_PHC_R_P_WISN_diff_per_centre","WISN difference (per Centre) of Nursing staff at rural PHCs"
"89","NURSE_PHC_R_S_WISN_diff_per_centre","Sanctioning difference (per Centre) ofNursing staff at rural PHCs"
"90","OBGY_CHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of OBGYs at rural CHCs"
"91","OBGY_CHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of OBGYs at rural CHCs"
"92","SUR_CHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of Surgeons at rural CHCs"
"93","SUR_CHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of Surgeons at rural CHCs"
"94","PAED_CHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of Paediatricians at rural CHCs"
"95","PAED_CHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of Paediatricians at rural CHCs"
"96","PHY_CHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of Physicians at rural CHCs"
"97","PHY_CHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of Physicians at rural CHCs"
"98","DOC_PHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of Doctors at rural PHCs"
"99","DOC_PHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of Doctors at rural PHCs"
"100","GDMO_AL_CHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of GDMO Allopathic at rural CHCs"
"101","GDMO_AL_CHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of GDMO Allopathic at rural CHCs"
"102","NURSE_CHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of Nursing staff at rural CHCs"
"103","NURSE_CHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of Nursing staff at rural CHCs"
"104","NURSE_PHC_R_P_WISN_diff_workforce_problem","Workforce problem based on WISN difference of Nursing staff at rural PHCs"
"105","NURSE_PHC_R_P_WISN_diff_per_centre_workforce_problem","Workforce problem based on WISN difference (per Centre) of Nursing staff at rural PHCs"
"106","OBGY_CHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of OBGYs at rural CHCs"
"107","SUR_CHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of Surgeons at rural CHCs"
"108","PAED_CHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of Paediatricians at rural CHCs"
"109","PHY_CHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of Physicians at rural CHCs"
"110","DOC_PHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of Doctors at rural PHCs"
"111","GDMO_AL_CHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of GDMO Allopathic at rural CHCs"
"112","NURSE_CHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of Nursing staff at rural CHCs"
"113","NURSE_PHC_R_P_WISN_ratio_workforce_pressure","Workforce pressure based on WISN ratio of Nursing staff at rural PHCs"
"114","OBGY_CHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of OBGYs at rural CHCs"
"115","OBGY_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of OBGYs at rural CHCs"
"116","SUR_CHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of Surgeons at rural CHCs"
"117","SUR_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of Surgeons at rural CHCs"
"118","PAED_CHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of Paediatricians at rural CHCs"
"119","PAED_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of Paediatricians at rural CHCs"
"120","PHY_CHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of Physicians at rural CHCs"
"121","PHY_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of Physicians at rural CHCs"
"122","DOC_PHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of Doctors at rural PHCs"
"123","DOC_PHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of Doctors at rural PHCs"
"124","GDMO_AL_CHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of GDMO Allopathic at rural CHCs"
"125","GDMO_AL_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of GDMO Allopathic at rural CHCs"
"126","NURSE_CHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of Nursing staff at rural CHCs"
"127","NURSE_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of Nursing staff at rural CHCs"
"128","NURSE_PHC_R_S_WISN_diff_sanctioning_problem","Sanctioning problem based on Sanctioning difference of Nursing staff at rural PHCs"
"129","NURSE_PHC_R_S_WISN_diff_per_centre_sanctioning_problem","Sanctioning problem based on Sanctioning difference (per Centre) of Nursing staff at rural PHCs"
